Code,Model,Concreteness,F1,Accuracy
Scholar,GPT-4,3.5,0.711864406779661,0.8468468468468469
Scholar,GPT-3.5,3.5,0.5376344086021505,0.6126126126126126
Scholar,Gemini,3.5,0.325,0.5135135135135135
Scholar,Llama,3.5,0.12,0.6036036036036037
Activist,GPT-4,3.34,0.851063829787234,0.9369369369369368
Activist,GPT-3.5,3.34,0.5538461538461539,0.7387387387387387
Activist,Gemini,3.34,0.2769230769230769,0.5765765765765766
Activist,Llama,3.34,0.0,0.6486486486486487
Monumental Memorialization,GPT-4,2.28,1.0,1.0
Monumental Memorialization,GPT-3.5,2.28,0.4,0.7837837837837838
Monumental Memorialization,Gemini,2.28,0.0,0.7117117117117117
Monumental Memorialization,Llama,2.28,0.064516129032258,0.7387387387387387
Mention of Scholarly Work,GPT-4,2.6566666666666667,0.7755102040816326,0.9009009009009008
Mention of Scholarly Work,GPT-3.5,2.6566666666666667,0.5365853658536586,0.6576576576576577
Mention of Scholarly Work,Gemini,2.6566666666666667,0.2413793103448276,0.6036036036036037
Mention of Scholarly Work,Llama,2.6566666666666667,0.0952380952380952,0.6576576576576577
Social/Political Advocacy,GPT-4,2.0,0.8,0.8198198198198198
Social/Political Advocacy,GPT-3.5,2.0,0.7619047619047619,0.7747747747747747
Social/Political Advocacy,Gemini,2.0,0.4385964912280701,0.4234234234234234
Social/Political Advocacy,Llama,2.0,0.3846153846153846,0.4234234234234234
Coalition Building,GPT-4,3.695,0.631578947368421,0.9369369369369368
Coalition Building,GPT-3.5,3.695,0.4,0.8648648648648649
Coalition Building,Gemini,3.695,0.0,0.7027027027027027
Coalition Building,Llama,3.695,0.0,0.8828828828828829
Out of the Mouth of Academics,GPT-4,3.735,0.7241379310344828,0.8558558558558559
Out of the Mouth of Academics,GPT-3.5,3.735,0.5789473684210527,0.7117117117117117
Out of the Mouth of Academics,Gemini,3.735,0.2337662337662337,0.4684684684684684
Out of the Mouth of Academics,Llama,3.735,0.1785714285714285,0.5855855855855856
Out of the Mouth of Activists,GPT-4,3.735,0.3529411764705882,0.9009009009009008
Out of the Mouth of Activists,GPT-3.5,3.735,0.3125,0.8018018018018018
Out of the Mouth of Activists,Gemini,3.735,0.0,0.7297297297297297
Out of the Mouth of Activists,Llama,3.735,0.1818181818181818,0.8378378378378378
Collective Synecdoche,GPT-4,2.52,0.8421052631578947,0.918918918918919
Collective Synecdoche,GPT-3.5,2.52,0.5252525252525253,0.5765765765765766
Collective Synecdoche,Gemini,2.52,0.28,0.3513513513513513
Collective Synecdoche,Llama,2.52,0.1935483870967742,0.5495495495495496
