Code,GPT-4 Per-Code w/ Just,GPT-4 Per-Code w/o Just,GPT-4 Full w/ Just,GPT-4 Full w/o Just,Gemini Per Code With Justification,Gemini Full Codebook_With Justification
Scholar,0.6085874299937772,0.5162023877202957,0.5925110132158591,0.42058165548098436,0.003988035892322883,-0.07357512953367884
Activist,0.8110867979576951,0.6491611962071481,0.670020580836954,0.6161067193675889,0.01249290176036344,-0.00045065344749883884
Monumental Memorialization,1.0,0.9128728414442701,0.7527839643652561,0.47723704866562,-0.16154349247874444,-0.14348785871964664
Mention of Scholarly Work,0.7119603680113233,0.6903765690376569,0.5210355987055016,0.43939393939393945,-0.01622971285892638,-0.08029197080291972
Social/Political Advocacy,0.6361848574237955,0.6033138401559455,0.5986193293885602,0.5950248756218905,-0.140655105973025,-0.09509946627850563
Coalition Building,0.5972006220839814,0.443609022556391,0.43326039387308535,0.13145539906103276,-0.13370473537604477,-0.052516411378555894
Out of the Mouth of Academics,0.6267339218158889,0.6462715105162524,0.6492890995260663,0.6185567010309279,-0.14353064431639595,0.011524358302776316
Out of the Mouth of Activists,0.3042735042735043,0.0918181818181818,0.34124629080118696,0.1777777777777778,-0.14354395604395598,-0.01834862385321112
Collective Synecdoche,0.7881230116648993,0.7769591426657736,0.8092783505154639,0.7064786249449097,-0.10204081632653073,-0.22036328871892907
Average,0.6760167236916517,0.5922871880135462,0.5964494023586593,0.46473474903829687,-0.09164083619121521,-0.07473433827001882
