id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,file_contents
106,0,0,1,0,0,0,1,0,0,"User: Mr. Lehrer received an honorary doctorate of humane letters. Other honorary degree recipients were Louise Gluck, the Pulitzer Prize-winning poet and senior lecturer in English at Williams; Henry Louis Gates Jr., the W. E. B. Du Bois Professor of Humanities at Harvard University; Maya Lin, the designer of the Vietnam Veterans' Memorial in Washington; Earl A. Powell 3d, a Williams alumnus who is director of the National Gallery of Art; Martin Scorsese, the filmmaker; Sir Richard Norman, rector of Exeter College at Oxford University; Harry C. Payne, president of Hamilton College, who will take over next January as Williams's president, and Walter V. Shipley, president of Chemical Bank and another Williams alumnus. St. Francis College
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable [Du Bois is mentioned as a professorship title, not described as a scholar in this context].
   - Activist: Not directly applicable [Du Bois is mentioned as a professorship title, not described as an activist in this context].

2. **General Themes**:
    - Monumental Memorialization: Applicable [The W. E. B. Du Bois Professor of Humanities at Harvard University is a named professorship].
    - Mention of Scholarly Work: Not applicable [No specific scholarly works or theoretical concepts by Du Bois are mentioned].
    - Social/Political Advocacy: Not applicable [The passage does not mention or imply any form of social or political activism, advocacy, critique, or discourse related to Du Bois].

3. **Canonization Processes**:
    - Coalition Building: Not applicable [Du Bois is not described as an agent establishing his reputation through organizational and institutional sponsorship].
    - Out of the Mouth of Academics: Applicable [Henry Louis Gates Jr., a member of an academic organization (Harvard University), is associated with a professorship named after Du Bois].
    - Out of the Mouth of Activists: Not applicable [The individuals mentioned are primarily academics or figures in the arts and finance, not explicitly described as activists or leaders of activist organizations referencing Du Bois].
    - Collective Synecdoche: Not applicable [Du Bois is not mentioned with other figures to represent a broader concept].

**Codes Applied**:
- Monumental Memorialization
- Out of the Mouth of Academics
"
112,0,1,0,0,1,0,0,1,0,"User: This confusion over the direction of the movement has all but immobilized the nation’s premier civil rights group, the N.A.A.C.P. Synonymous with the long journey toward racial equality since its founding by W. E. B. Du Bois and others in 1909, the organization has, in recent years, lost much of its cachet with younger black Americans. In 2005, the N.A.A.C.P.’s unwieldy 64-member board hired Bruce Gordon, a former Verizon executive, to retool the organization. Gordon’s premise was that civil rights was no longer simply about protesting discrimination  that African-Americans were now stymied not only by institutional barriers but also by conditions in their communities. He proposed that a new N.A.A.C.P step into this breach, organizing services that might include SAT prep classes or training for new parents. He also created a new class of online members who didn’t have to pay any dues, adding more than 100,000 members to a group whose paying membership had declined, in Gordon’s estimate, to under 300,000.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. While Du Bois founded the NAACP, the passage does not describe him as a scholar or intellectual in this context.
   - Activist: Applicable. The passage explicitly states that Du Bois founded the NAACP, an organization synonymous with civil rights activism.

2. **General Themes**:
   - Monumental Memorialization: Not applicable. The passage does not mention any enduring cultural objects named after Du Bois.
   - Mention of Scholarly Work: Not applicable. The passage focuses on Du Bois's role in founding the NAACP and does not mention any of his academic works or theoretical concepts.
   - Social/Political Advocacy: Applicable. The passage discusses the NAACP, a civil rights organization, and its long journey toward racial equality, which directly relates to social and political advocacy.

3. **Canonization Processes**:
   - Coalition Building: Not applicable. The passage does not describe Du Bois as building his reputation through organizational sponsorship.
   - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic discussing Du Bois or his work.
   - Out of the Mouth of Activists: Applicable. The passage mentions the NAACP, a prominent activist organization, and its founding by Du Bois, implying a connection between the organization's legacy and Du Bois.
   - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Activist
- Social/Political Advocacy
- Out of the Mouth of Activists
"
57,0,0,0,1,1,0,1,0,1,"User: In a dissent that cited W. E. B. Du Bois, James Baldwin and Ta-Nehisi Coates, Justice Sotomayor said the court had vastly expanded police power.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because while Du Bois's work is cited, the passage does not describe him as a scholar or intellectual in this context.
   - Activist: Not directly applicable because the passage does not explicitly describe Du Bois as an activist or detail his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because no enduring cultural object is named after Du Bois.
    - Mention of Scholarly Work: Applicable because the passage explicitly mentions that Justice Sotomayor cited W.E.B. Du Bois, implying a reference to his work.
    - Social/Political Advocacy: Applicable because the citation of Du Bois in a dissent regarding police power implies his work is being used to critique social and political issues.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois as an agent establishing his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Applicable because Justice Sotomayor, a member of the court (an academic/legal institution), is engaging with Du Bois's work.
    - Out of the Mouth of Activists: Not directly applicable because Justice Sotomayor is not explicitly described as an activist or leader in this context, though her role as a judge involves advocacy.
    - Collective Synecdoche: Applicable because Du Bois is mentioned alongside James Baldwin and Ta-Nehisi Coates, representing a lineage of intellectual and critical voices on race and social justice.

**Codes Applied**:
- Mention of Scholarly Work
- Social/Political Advocacy
- Out of the Mouth of Academics
- Collective Synecdoche
"
43,0,0,0,0,0,0,0,0,0,"User: On the other hand, if Hollywood were making a movie about W. E. B. Du Bois, a light-skinned man who struggled with complexion issues much of his life, to cast a dark-skinned actor in the role would be to repaint history. LISE FUNDERBURG New York, April 7, 1991
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. The passage does not describe Du Bois as a scholar or intellectual, nor does it reference his scholarly work.
   - Activist: Not directly applicable. While Du Bois was an activist, the passage focuses on his physical appearance and its potential misrepresentation in a film, not his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. There is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not applicable. The passage does not mention or quote any of Du Bois's academic works or major theoretical concepts.
    - Social/Political Advocacy: Not applicable. The passage does not mention or imply any form of social or political activism, advocacy, critique, or discourse.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. The passage does not describe Du Bois as an agent establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic engaging with Du Bois's work or representing him as a concept.
    - Out of the Mouth of Activists: Not applicable. The passage does not feature an individual described as a leader, activist, or politician referencing Du Bois's work or legacy.
    - Collective Synecdoche: Not applicable. Du Bois is not mentioned with other famous intellectuals, activists, or public figures to represent a facet of culture, era, or ideology.

**Codes Applied**:
None
"
94,1,0,0,1,1,0,0,0,0,"User: The black theorist, sociologist and historian W. E. B. Du Bois was among the first to articulate for a wide audience the psychological jolt he felt as a child of realizing, after playing with a white child, that he was seen as a problem, and that his lot in life in America was to see himself as whites saw him, to acknowledge himself as a problem. However, while I’m not a big fan of the idea that America has made a lot of progress since Du Bois’s time, I can readily admit that a lot has changed since the beginning of the 20th century. I imagine Mr. Crutcher and his desire to be back in a classroom and I think, how wonderful that is. I admire a person well into adulthood embracing the possibility that there are still things he’d like to learn, that he’d like to improve about himself, that he’d like to share with his family and the world.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable because Du Bois is described as a ""theorist, sociologist and historian"" and his articulation of a psychological concept is highlighted.
   - Activist: Not directly applicable because while his ideas are discussed, there is no mention of his direct political or social activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Applicable because the passage refers to Du Bois's articulation of a psychological concept, which implies his theoretical work.
    - Social/Political Advocacy: Applicable because the passage discusses Du Bois's articulation of a concept related to racial identity and how Black people are perceived as a ""problem"" in America, which is a form of social critique.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because there is no mention of Du Bois establishing his reputation through organizational or institutional sponsorship.
    - Out of the Mouth of Academics: Not applicable because the passage does not indicate that an academic is discussing Du Bois's work or representing him as a concept.
    - Out of the Mouth of Activists: Not applicable because the passage does not feature an activist referencing Du Bois's work or legacy.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
"
80,0,0,1,0,0,0,0,0,0,"User: To the Editor: Concerning ""Once a Hub of Strife, Boston Woos Black Tourists""(Dec. 8), an African-American heritage trail can be found closer to New York. The newly designated Upper Housatonic Valley National Heritage Area recently published a guidebook, ""African American Heritage in the Upper Housatonic Valley,"" which describes the rich heritage in northwestern Connecticut and the Berkshires of Massachusetts. Among the sites are the W. E. B. Du Bois River Garden in Great Barrington, Mass., Du Bois's hometown, and the Col. John Ashley House in Sheffield, Mass., where in the early 1780s Elizabeth Freeman, also known as Mumbet, began the fight that helped end slavery in Massachusetts. For more information, see www.africanamericantrail.org.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. The passage does not describe Du Bois as a scholar or intellectual, nor does it reference his scholarly work.
   - Activist: Not directly applicable. While Du Bois's hometown is mentioned, his activism is not explicitly noted or clearly implied in this context.

2. **General Themes**:
    - Monumental Memorialization: Applicable. The passage mentions the ""W. E. B. Du Bois River Garden,"" which is a geographical feature named after Du Bois.
    - Mention of Scholarly Work: Not applicable. The passage does not mention any of Du Bois's academic works or major theoretical concepts.
    - Social/Political Advocacy: Not directly applicable. While the passage discusses an African-American heritage trail and the fight to end slavery, it does not explicitly mention or imply Du Bois's social or political advocacy in this context.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. There is no mention of Du Bois establishing his reputation through organizational or institutional sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic organization or its member engaging with Du Bois's work or persona.
    - Out of the Mouth of Activists: Not applicable. The passage does not feature an individual described as a leader, activist, or politician referencing Du Bois's work or legacy.
    - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other famous figures to represent a broader concept.

**Codes Applied**:
- Monumental Memorialization
"
81,1,0,0,1,1,0,1,0,0,"User: In February 1926, the N.A.A.C.P. magazine The Crisis published a piece by its editor, W. E. B. Du Bois, under the headline “A Questionnaire.” Du Bois posed seven questions intended for artists — fiction writers, poets, painters and more — on how Black people should be portrayed in their work. The questions leave no doubt about where Du Bois himself stands. For instance, question six asks: “Is not the continual portrayal of the sordid, foolish and criminal among Negroes convincing the world that this and this alone is really and essentially Negroid, and preventing white artists from knowing any other types and preventing Black artists from daring to paint them?” Almost a quarter century earlier, Du Bois had popularized the concept of “the talented tenth,” his belief that “[t]he Negro race, like all races, is going to be saved by its exceptional men.” It was contingent, he argued, upon “the Best” of the race to “guide the Mass away from the contamination and death of the Worst.” His “Questionnaire” expanded this gospel of excellence into the imaginative realm, as well. Mediocrity or worse must be rooted out not only in life but in art. Later, in 1993, the historian Evelyn Brooks Higginbotham coined the phrase “politics of respectability” to describe a belief that individual moral and behavioral reform among Black Americans could counter pervasive racist images and perhaps even help fix the entire system of race inequality in the United States. In the years since, the concept of a politics of respectability has been adopted and adapted by other minority groups as a strategy for assimilation and advancement.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable, as the passage discusses Du Bois's concept of ""the talented tenth"" and his intellectual engagement with how Black people should be portrayed in art, which are core to his scholarly work.
   - Activist: Not directly applicable, as the passage focuses on his editorial work and intellectual concepts rather than explicit calls to action or organizing.

2. **General Themes**:
    - Monumental Memorialization: Not applicable, as there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Applicable, as the passage directly quotes and discusses Du Bois's concept of ""the talented tenth"" and his ""Questionnaire"" published in *The Crisis*.
    - Social/Political Advocacy: Applicable, as the passage discusses Du Bois's critique of how Black people were portrayed in art and his ideas on how this impacted racial inequality, which constitutes social and political advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable, as the passage does not describe Du Bois as building his reputation through organizational or institutional sponsorship.
    - Out of the Mouth of Academics: Applicable, as the historian Evelyn Brooks Higginbotham is mentioned in relation to a concept she coined that builds upon Du Bois's ideas.
    - Out of the Mouth of Activists: Not directly applicable, as while *The Crisis* is an NAACP publication, the passage focuses on Du Bois's editorial and intellectual output rather than an activist referencing him.
    - Collective Synecdoche: Not applicable, as Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
- Out of the Mouth of Academics
"
95,0,0,0,0,1,0,0,0,0,"User: Written by Du Bois, who was born three years after the end of the Civil War, the verse reads: I heard the Song of Children, crying ''Free!'' I saw the face of Freedom . . . And I died.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because the passage quotes a poem, not his scholarly work.
   - Activist: Not directly applicable because the passage does not explicitly describe Du Bois as an activist or detail his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because no enduring cultural objects are named after Du Bois.
    - Mention of Scholarly Work: Not applicable because the passage quotes a poem, not a scholarly work or academic concept.
    - Social/Political Advocacy: Applicable because the poem's themes of freedom and suffering, written by Du Bois, implicitly engage with social and political issues of the post-Civil War era.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable because the passage does not feature an academic discussing Du Bois or his work.
    - Out of the Mouth of Activists: Not applicable because the passage does not feature an activist referencing Du Bois's work or legacy.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Social/Political Advocacy
"
42,0,0,0,0,0,0,0,0,1,"User: Works by black artists are also among the more than 200 varied items to be displayed from the collection of Randolph Linsly Simpson, a white Connecticut businessman whose ancestors espoused the abolition of slavery. Early objects include slave shackles, chains and tags, slave sales bulletins and an antislavery pamphlet written by Jonathan Edwards in 1833. Calling cards and photographs of such famous blacks as Frederick Douglass, W. E. B. Du Bois, Ethel Waters, George Washington Carver and Paul Robeson are mingled with photographs of anonymous black soldiers in the Civil War, shoeshine boys and chimney sweeps.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. Du Bois is mentioned alongside other famous Black figures, but his scholarly contributions are not specifically highlighted.
   - Activist: Not directly applicable. While Du Bois was an activist, this passage only lists him as a famous Black person whose calling card is displayed, not in the context of his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. No enduring cultural objects are named after Du Bois.
    - Mention of Scholarly Work: Not applicable. No specific academic works or theoretical concepts by Du Bois are mentioned.
    - Social/Political Advocacy: Not applicable. The passage lists Du Bois as a famous Black person, but does not connect him to any specific social or political advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. There is no mention of Du Bois building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic discussing Du Bois.
    - Out of the Mouth of Activists: Not applicable. The passage does not feature an activist referencing Du Bois.
    - Collective Synecdoche: Applicable. Du Bois is mentioned alongside other famous Black intellectuals and public figures (Frederick Douglass, Ethel Waters, George Washington Carver, and Paul Robeson) to represent a facet of Black culture and history.

**Codes Applied**:
- Collective Synecdoche
"
56,1,0,1,0,0,1,1,0,0,"User: But he stayed at Duke only a year before accepting an offer from Harvard that made him simultaneously chairman of the Afro-American studies department, the W. E. B. Du Bois professor of the humanities and the director of the W. E. B. Du Bois Institute, a research institute. Fear of Closing
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable, as he is named the ""W. E. B. Du Bois professor of the humanities,"" indicating an intellectual and academic role.
   - Activist: Not directly applicable, as the passage focuses on his academic and administrative positions rather than explicit activism.

2. **General Themes**:
    - Monumental Memorialization: Applicable, as the passage mentions the ""W. E. B. Du Bois Institute,"" which is a named research institute.
    - Mention of Scholarly Work: Not applicable, as no specific scholarly works or theoretical concepts are mentioned.
    - Social/Political Advocacy: Not directly applicable, as the passage focuses on his academic and institutional roles, not his advocacy work.

3. **Canonization Processes**:
    - Coalition Building: Applicable, as being appointed to a professorship and directing an institute suggests institutional sponsorship and reputation building.
    - Out of the Mouth of Academics: Applicable, as the mention of the ""W. E. B. Du Bois professor of the humanities"" and the ""W. E. B. Du Bois Institute"" implies engagement from an academic organization.
    - Out of the Mouth of Activists: Not applicable, as there is no indication of an activist referencing Du Bois.
    - Collective Synecdoche: Not applicable, as Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Monumental Memorialization
- Coalition Building
- Out of the Mouth of Academics
"
